ISOA3;Country;latitude;longitude;COD_PAIS
ABW;Aruba;12.52111;-69.968338;65
AFG;Afghanistan;33.93911;67.709953;13
AGO;Angola;-11.202692;17.873887;40
AIA;Anguilla;18.220554;-63.068615;41
ALA;Åland Islands;;;15
ALB;Albania;41.153332;20.168331;17
AND;Andorra;42.546245;1.601554;37
ARE;United Arab Emirates;23.424076;53.847818;237
ARG;Argentina;-38.416097;-63.616672;63
ARM;Armenia;40.069099;45.038189;64
ASM;American Samoa;-14.270972;-170.132217;691
ATA;Antarctica;-75.250973;-0.071389;42
ATF;French Southern Territories;-49.280366;69.348557;781
ATG;Antigua and Barbuda;17.060816;-61.796428;43
AUS;Australia;-25.274398;133.775136;69
AUT;Austria;47.516231;14.550072;72
AZE;Azerbaijan;40.143105;47.576927;73
BDI;Burundi;-3.373056;29.918886;115
BEL;Belgium;50.503887;4.469936;87
BEN;Benin;9.30769;2.315834;229
BES;Bonaire, Sint Eustatius and Saba;;;99
BFA;Burkina Faso;12.238333;-1.561593;31
BGD;Bangladesh;23.684994;90.356331;81
BGR;Bulgaria;42.733883;25.48583;111
BHR;Bahrain;25.930414;50.637772;80
BHS;Bahamas;25.03428;-77.39628;77
BIH;Bosnia and Herzegovina;43.915886;17.679076;98
BLM;Saint Barthélemy;;;693
BLR;Belarus;53.709807;27.953389;85
BLZ;Belize;17.189877;-88.49765;88
BMU;Bermuda;32.321384;-64.75737;90
BOL;Bolivia (Plurinational State of);-16.290154;-63.588653;97
BRA;Brazil;-14.235004;-51.92528;100
BRB;Barbados;13.193887;-59.543198;83
BRN;Brunei Darussalam;4.535277;114.727669;108
BTN;Bhutan;27.514162;90.433601;119
BVT;Bouvet Island;-54.423199;3.413194;102
BWA;Botswana;-22.328474;24.684866;101
CAF;Central African Republic;6.611111;20.939444;640
CAN;Canada;56.130366;-106.346771;149
CCK;Cocos (Keeling) Islands;-12.164165;96.870956;165
CHE;Switzerland;46.818188;8.227512;767
CHL;Chile;-35.675147;-71.542969;158
CHN;China;35.86166;104.195397;160
CIV;Côte d'Ivoire;7.539989;-5.54708;193
CMR;Cameroon;7.369722;12.354722;145
COD;Congo, Democratic Republic of the;-4.038333;21.758664;888
COG;Congo;-0.228021;15.827659;177
COK;Cook Islands;-21.236736;-159.777671;183
COL;Colombia;4.570868;-74.297333;169
COM;Comoros;-11.875001;43.872219;173
CPV;Cabo Verde;16.002082;-24.013197;127
CRI;Costa Rica;9.748917;-83.753428;196
CUB;Cuba;21.521757;-77.781167;199
CUW;Curaçao;;;200
CXR;Christmas Island;-10.447525;105.690449;511
CYM;Cayman Islands;19.513469;-80.566956;137
CYP;Cyprus;35.126413;33.429859;163
CZE;Czechia;;;791
DEU;Germany;51.165691;10.451526;23
DJI;Djibouti;11.825138;42.590275;783
DMA;Dominica;15.414999;-61.370976;235
DNK;Denmark;56.26392;9.501785;232
DOM;Dominican Republic;18.735693;-70.162651;647
DZA;Algeria;28.033886;1.659626;59
ECU;Ecuador;-1.831239;-78.183406;239
EGY;Egypt;26.820553;30.802498;240
ERI;Eritrea;15.179384;39.782334;243
ESH;Western Sahara;24.215527;-12.885834;685
ESP;Spain;40.463667;-3.74922;20
EST;Estonia;58.595272;25.013607;251
ETH;Ethiopia;9.145;40.489673;253
FIN;Finland;61.92411;25.748151;271
FJI;Fiji;-16.578193;179.414413;870
FLK;Falkland Islands (Malvinas);-51.796253;-59.523613;255
FRA;France;46.227638;2.213749;275
FRO;Faroe Islands;61.892635;-6.911806;259
FSM;Micronesia (Federated States of);7.425554;150.550812;499
GAB;Gabon;-0.803689;11.609444;281
GBR;United Kingdom of Great Britain and Northern Ireland;53.41291;-8.24389;152
GEO;Georgia;42.315407;43.356892;291
GGY;Guernsey;49.465691;-2.585278;150
GHA;Ghana;7.946527;-1.023194;289
GIB;Gibraltar;36.137741;-5.345374;293
GIN;Guinea;9.945587;-9.696645;329
GLP;Guadeloupe;16.995971;-62.067641;309
GMB;Gambia;13.443182;-15.310139;285
GNB;Guinea-Bissau;11.803749;-15.180413;334
GNQ;Equatorial Guinea;1.650801;10.267895;331
GRC;Greece;39.074208;21.824312;301
GRD;Grenada;12.262776;-61.604171;297
GRL;Greenland;71.706936;-42.604303;305
GTM;Guatemala;15.783471;-90.230759;317
GUF;French Guiana;3.933889;-53.125782;325
GUM;Guam;13.444304;144.793731;313
GUY;Guyana;4.860416;-58.93018;337
HKG;Hong Kong;22.396428;114.109497;351
HMD;Heard Island and McDonald Islands;-53.08181;73.504158;343
HND;Honduras;15.199999;-86.241905;345
HRV;Croatia;45.1;15.2;195
HTI;Haiti;18.971187;-72.285215;341
HUN;Hungary;47.162494;19.503304;355
IDN;Indonesia;-0.789275;113.921327;365
IMN;Isle of Man;54.236107;-4.548056;359
IND;India;20.593684;78.96288;361
IOT;British Indian Ocean Territory;-6.343194;71.876519;782
IRL;Ireland;53.41291;-8.24389;375
IRN;Iran (Islamic Republic of);32.427908;53.688046;372
IRQ;Iraq;33.223191;43.679291;369
ISL;Iceland;64.963051;-19.020835;379
ISR;Israel;31.046051;34.851612;383
ITA;Italy;41.87194;12.56738;386
JAM;Jamaica;18.109581;-77.297508;391
JEY;Jersey;49.214439;-2.13125;
JOR;Jordan;30.585164;36.238414;403
JPN;Japan;36.204824;138.252924;399
KAZ;Kazakhstan;48.019573;66.923684;153
KEN;Kenya;-0.023559;37.906193;623
KGZ;Kyrgyzstan;41.20438;74.766098;625
KHM;Cambodia;12.565679;104.990963;141
KIR;Kiribati;-3.370417;-168.734039;411
KNA;Saint Kitts and Nevis;17.357822;-62.782998;678
KOR;Korea, Republic of;35.907757;127.766922;190
KWT;Kuwait;29.31166;47.481766;198
LAO;Lao People's Democratic Republic;19.85627;102.495496;420
LBN;Lebanon;33.854721;35.862285;431
LBR;Liberia;6.428055;-9.429499;434
LBY;Libya;26.3351;17.228331;438
LCA;Saint Lucia;13.909444;-60.978893;715
LIE;Liechtenstein;47.166;9.555373;440
LKA;Sri Lanka;7.873054;80.771797;750
LSO;Lesotho;-29.609988;28.233608;426
LTU;Lithuania;55.169438;23.881275;442
LUX;Luxembourg;49.815273;6.129583;445
LVA;Latvia;56.879635;24.603189;427
MAC;Macao;35.86166;104.195397;447
MAF;Saint Martin (French part);;;
MAR;Morocco;31.791702;-7.09262;474
MCO;Monaco;43.750298;7.412841;495
MDA;Moldova, Republic of;47.411631;28.369885;494
MDG;Madagascar;-18.766947;46.869107;450
MDV;Maldives;3.202778;73.22068;461
MEX;Mexico;23.634501;-102.552784;493
MHL;Marshall Islands;7.131474;171.184478;476
MKD;North Macedonia;41.608635;21.745275;449
MLI;Mali;17.570692;-3.996166;464
MLT;Malta;35.937496;14.375416;467
MMR;Myanmar;21.913965;95.956223;93
MNE;Montenegro;42.708678;19.37439;498
MNG;Mongolia;46.862496;103.846656;497
MNP;Northern Mariana Islands;17.33083;145.38469;472
MOZ;Mozambique;-18.665695;35.529562;505
MRT;Mauritania;21.00789;-10.940835;488
MSR;Montserrat;16.742498;-62.187366;501
MTQ;Martinique;14.641528;-61.024174;477
MUS;Mauritius;-20.348404;57.552152;485
MWI;Malawi;-13.254308;34.301525;458
MYS;Malaysia;4.210484;101.975766;423
MYT;Mayotte;-12.8275;45.166244;
NAM;Namibia;-22.95764;18.49041;507
NCL;New Caledonia;-20.904305;165.618042;542
NER;Niger;17.607789;8.081666;525
NFK;Norfolk Island;-29.040835;167.954712;535
NGA;Nigeria;9.081999;8.675277;528
NIC;Nicaragua;12.865416;-85.207229;521
NIU;Niue;-19.054445;-169.867233;531
NLD;Netherlands;52.132633;5.291266;573
NOR;Norway;60.472024;8.468946;538
NPL;Nepal;28.394857;84.124008;517
NRU;Nauru;-0.522778;166.931503;508
NZL;New Zealand;-40.900557;174.885971;548
OMN;Oman;21.512583;55.923255;556
PAK;Pakistan;30.375321;69.345116;576
PAN;Panama;8.537981;-80.782127;580
PCN;Pitcairn;;;593
PER;Peru;-9.189967;-75.015152;589
PHL;Philippines;12.879721;121.774017;267
PLW;Palau;7.51498;134.58252;575
PNG;Papua New Guinea;-6.314993;143.95555;545
POL;Poland;51.919438;19.145136;603
PRI;Puerto Rico;18.220833;-66.590149;611
PRK;Korea (Democratic People's Republic of);35.907757;127.766922;187
PRT;Portugal;39.399872;-8.224454;452
PRY;Paraguay;-23.442503;-58.443832;586
PSE;Palestine, State of;31.952162;35.233154;578
PYF;French Polynesia;-17.679742;-149.406843;599
QAT;Qatar;25.354826;51.183884;154
REU;Réunion;-21.115141;55.536384;660
ROU;Romania;45.943161;24.96676;670
RUS;Russian Federation;61.52401;105.318756;676
RWA;Rwanda;-1.940278;29.873888;675
SAU;Saudi Arabia;23.885942;45.079162;53
SDN;Sudan;12.862807;30.217636;759
SEN;Senegal;14.497401;-14.452362;728
SGP;Singapore;1.352083;103.819836;741
SGS;South Georgia and the South Sandwich Islands;-54.429579;-36.587909;292
SHN;Saint Helena, Ascension and Tristan da Cunha;-24.143474;-10.030696;710
SJM;Svalbard and Jan Mayen;77.553604;23.670272;755
SLB;Solomon Islands;-9.64571;160.156194;677
SLE;Sierra Leone;8.460555;-11.779889;735
SLV;El Salvador;13.794185;-88.89653;687
SMR;San Marino;43.94236;12.457777;697
SOM;Somalia;5.152149;46.199616;748
SPM;Saint Pierre and Miquelon;46.941936;-56.27111;700
SRB;Serbia;44.016521;21.005859;737
SSD;South Sudan;12.862807;30.217636;760
STP;Sao Tome and Principe;;;720
SUR;Suriname;3.919305;-56.027783;770
SVK;Slovakia;48.669026;19.699024;247
SVN;Slovenia;46.151241;14.995463;246
SWE;Sweden;60.128161;18.643501;764
SWZ;Eswatini;;;754
SXM;Sint Maarten (Dutch part);;;699
SYC;Seychelles;-4.679574;55.491977;731
SYR;Syrian Arab Republic;34.802075;38.996815;744
TCA;Turks and Caicos Islands;21.694025;-71.797928;823
TCD;Chad;15.454166;18.732207;788
TGO;Togo;8.619543;0.824782;800
THA;Thailand;15.870032;100.992541;776
TJK;Tajikistan;38.861034;71.276093;772
TKL;Tokelau;-8.967363;-171.855881;805
TKM;Turkmenistan;38.969719;59.556278;824
TLS;Timor-Leste;-8.874217;125.727539;795
TON;Tonga;-21.178986;-175.198242;810
TTO;Trinidad and Tobago;10.691803;-61.222503;815
TUN;Tunisia;33.886917;9.537499;820
TUR;Turkey;38.963745;35.243322;827
TUV;Tuvalu;-7.109535;177.64933;828
TWN;Taiwan, Province of China;23.69781;120.960515;161
TZA;Tanzania, United Republic of;-6.369028;34.888822;780
UGA;Uganda;1.373333;32.290275;833
UKR;Ukraine;48.379433;31.16558;831
UMI;United States Minor Outlying Islands;;;490
URY;Uruguay;-32.522779;-55.765835;845
USA;United States of America;37.09024;-95.712891;249
UZB;Uzbekistan;41.377491;64.585262;847
VAT;Holy See;41.902916;12.453389;848
VCT;Saint Vincent and the Grenadines;12.984305;-61.287228;705
VEN;Venezuela (Bolivarian Republic of);6.42375;-66.58973;850
VGB;Virgin Islands (British);18.420695;-64.639968;863
VIR;Virgin Islands (U.S.);18.335765;-64.896335;866
VNM;Viet Nam;14.058324;108.277199;858
VUT;Vanuatu;-15.376706;166.959158;551
WLF;Wallis and Futuna;-13.768752;-177.156097;875
WSM;Samoa;-13.759029;-172.104629;690
YEM;Yemen;15.552727;48.516388;357
ZAF;South Africa;-30.559482;22.937506;756
ZMB;Zambia;-13.133897;27.849332;890
ZWE;Zimbabwe;-19.015438;29.154857;665
